motivoId,ativo,processo,tipo,situacao,categoria,descricao,detalhes,stepSilic
1,1,Ato Formal,locação,Prorrogação,Financeiro,Pré-comprometimento,A menor / não encaminhado /,Definir
2,1,Ato Formal,locação,Prorrogação,Financeiro,ID Plano de Aquisições,Não identificado / não encaminhado,Definir
3,1,Ato Formal,locação,Prorrogação,Financeiro,Falta ateste GEORC,Contratação acima de 3 milhões,Definir
4,1,Ato Formal,locação,Prorrogação,Financeiro,Pagamento em favor de terceiros,Não há documentação que autoriza o pagamento a terceiros,Definir
5,1,Ato Formal,locação,Prorrogação,Financeiro,Crédito para terceiros,Pagamento de locação a terceiros sem a documentação,Definir
6,1,Ato Formal,locação,Prorrogação,Documentação,Documentos do imóvel,Ausência do registro do imóvel/Certidão inteiro teor,Definir
7,1,Ato Formal,locação,Prorrogação,Processual,Negociação entre as partes,Ausência das informações de negociação com o locador,Definir
8,1,Ato Formal,locação,Prorrogação,Processual,Laudo de avaliação,Falta laudo de avaliação / vencido / sem assinatura,Definir
9,1,Ato Formal,locação,Prorrogação,Processual,Laudo de avaliação,Prorrogação de vigência acima do valor do laudo de avaliação sem justificativa,Definir
10,1,Ato Formal,locação,Prorrogação,Documentação,Locador Pessoa Jurídica,Representação legal/poderes não comprovados,Definir
11,1,Ato Formal,locação,Prorrogação,documentação,Impedimentos,Fornecedor com vedação/impedimento para prorrogar vigência contratual,Definir
12,1,Ato Formal,locação,Prorrogação,documentação,Impedimentos,Locador com inscrição no CADIN,Definir
13,1,contratação,cessão,mudança de endereço,Documentação,Documentos do imóvel,Ausência do registro do imóvel/Certidão inteiro teor/documento que comprove posse,Definir
14,1,contratação,cessão,mudança de endereço,Documentação,Documentos do imóvel,Averbação da área não identificada no RGI,Definir
15,1,contratação,cessão,mudança de endereço,Documentação,Documentos do imóvel,Ausência de CND IPTU / documento vencido,Definir
16,1,contratação,cessão,mudança de endereço,Documentação,Documentos do imóvel,Justificar que o imóvel está livre e desembaraçado de ônus,Definir
17,1,contratação,cessão,mudança de endereço,Documentação,Documentos do imóvel,Inexistência de autorização de atividade bancária,Definir
18,1,contratação,cessão,mudança de endereço,Documentação,Documentos do imóvel,Sublocação sem autorização/termo,Definir
19,1,contratação,cessão,mudança de endereço,Documentação,Impedimentos,Ausência de certidão CND Federal / Certidão vencida,Definir
20,1,contratação,cessão,mudança de endereço,Documentação,Impedimentos,Ausência da certidão de regularidade - CRF / CRF Vencido,Definir
21,1,contratação,cessão,mudança de endereço,documentação,Impedimentos,Fornecedor com vedação/impedimento para contratar,Definir
22,1,contratação,cessão,mudança de endereço,documentação,Impedimentos,Risco de nepotismo/relacionamento vedado,Definir
23,1,contratação,cessão,mudança de endereço,documentação,Impedimentos,Listas restritivas (setor público/trabalho escravo/risco de imagem),Definir
24,1,contratação,cessão,mudança de endereço,documentação,Impedimentos,Locador com inscrição no CADIN,Definir
25,1,contratação,cessão,mudança de endereço,documentação,locador pessoa física,Ausência de identificação dos documentos identificação (RG/CPF),Definir
26,1,contratação,cessão,mudança de endereço,documentação,locador pessoa física,Representação legal/poderes não comprovados,Definir
27,1,contratação,cessão,mudança de endereço,documentação,Locador Pessoa Jurídica,Ausência da certidão simplificada da junta comercial,Definir
28,1,contratação,cessão,mudança de endereço,documentação,Locador Pessoa Jurídica,Ausência da documentação de identificação sócios (RG/CPF),Definir
29,1,contratação,cessão,mudança de endereço,documentação,Locador Pessoa Jurídica,Ausência da última versão do Contrato Social,Definir
30,1,contratação,cessão,mudança de endereço,documentação,Locador Pessoa Jurídica,Documentos do cedente não assinados digitalmente,Definir
31,1,contratação,cessão,mudança de endereço,documentação,Locador Pessoa Jurídica,Representação legal/poderes não comprovados,Definir
32,1,contratação,cessão,mudança de endereço,documentação,Locador Pessoa Jurídica,Ata ou Termo de Posse do Representante Legal vigente,Definir
33,1,contratação,cessão,mudança de endereço,financeiro,Dados Bancários,Informação de dados bancários em outro banco sem justificativa,Definir
34,1,contratação,cessão,mudança de endereço,Financeiro,Dados Bancários,Falta informação dos dados bancários,Definir
35,1,contratação,cessão,mudança de endereço,Financeiro,Falta ateste GEORC,Contratação acima de 3 milhões,Definir
36,1,contratação,cessão,mudança de endereço,Financeiro,Índice de correção do contrato,Não identificado o índice de correção do contrato,Definir
37,1,contratação,cessão,mudança de endereço,Financeiro,Pré-comprometimento,A menor / não encaminhado / não dividido conforme calendário de pagamento,Definir
38,1,contratação,cessão,mudança de endereço,Processual,À pedido,Por solicitação do gestor operacional,Definir
39,1,contratação,cessão,mudança de endereço,Processual,Informações ausentes,Falta esclarecer a relação custo x benefício,Definir
